Item,Office,Week
Bıçak,Izmir,34
Makas,Izmir,34
Streç film,Izmir,34
Metro Bar,Izmir,34
tuz,Izmir,34
zımba,Izmir,34
Tahta Kalemi/ Mürekkeb,Izmir,34
Kesme Tahtası,Izmir,34
Bulaşıklık,Izmir,34
Buzdolabı poşeti,Izmir,34
Soda (sade + limonlu + elmalı,Izmir,34
Filtre kahve çekirdeği,Izmir,34
çubuk kraker,Izmir,34
bant,Izmir,34
pil,Izmir,34
kapak açacağı,Izmir,34
Sürahi,Izmir,34
Olala,Izmir,34
Hoşbeş,Izmir,34
Çizi,Izmir,34
Meyve Suyu,Izmir,34
çerez,Izmir,34
